index,tehsil_name,tehsil_code_census,tehsil_name_english,district_code,district_name,district_name_english
306,गुन्नौर,00778,Gunnaur,205,सम्भल,Sambhal
307,चन्दौसी,00722,Chandausi,205,सम्भल,Sambhal
308,सम्भल,00721,Sambhal,205,सम्भल,Sambhal
309,देवबन्द,00704,Deoband,132,सहारनपुर,Saharanpur
310,नकुड़,00703,Nakur,132,सहारनपुर,Saharanpur
311,बेहट,00701,Behat,132,सहारनपुर,Saharanpur
312,रामपुर मनिहारान,00705,Rampur Maniharan,132,सहारनपुर,Saharanpur
313,सहारनपुर,00702,Saharanpur,132,सहारनपुर,Saharanpur
314,इटवा,00935,Itwa,184,सिद्धार्थनगर,Sidharthnagar
315,डुमरियागंज,00936,Domariyaganj,184,सिद्धार्थनगर,Sidharthnagar
316,नौगढ,00933,Naugarh,184,सिद्धार्थनगर,Sidharthnagar
317,बाँसी,00934,Bansi,184,सिद्धार्थनगर,Sidharthnagar
318,शोहरतगढ़,00932,Shohratgarh,184,सिद्धार्थनगर,Sidharthnagar
319,बिसवां,00806,Biswan,154,सीतापुर,Sitapur
320,महमूदाबाद,00807,Mahmoodabad,154,सीतापुर,Sitapur
321,महोली,01027,Maholi,154,सीतापुर,Sitapur
322,मिश्रिख,00803,Misrikh,154,सीतापुर,Sitapur
323,लहरपुर,00805,Laharpur,154,सीतापुर,Sitapur
324,सिधौली,00808,Sidhauli,154,सीतापुर,Sitapur
325,सीतापुर,00804,Sitapur,154,सीतापुर,Sitapur
326,कादीपुर,00918,Kadipur,179,सुल्तानपुर,Sultanpur
327,जयसिंहपुर,00916,Jaisinghpur,179,सुल्तानपुर,Sultanpur
328,बल्दीराय,01058,Baldirai,179,सुल्तानपुर,Sultanpur
329,लम्भुआ,00917,Lmbhua,179,सुल्तानपुर,Sultanpur
330,सदर,00915,Sultanpur,179,सुल्तानपुर,Sultanpur
331,ओबरा,01062,Obra,200,सोनभद्र,Sonbhadra
332,घोरावल,01004,Ghorawal,200,सोनभद्र,Sonbhadra
333,दुद्धी,01006,Duddhi,200,सोनभद्र,Sonbhadra
334,राबर्टसगंज,01005,Rabertsganj,200,सोनभद्र,Sonbhadra
335,मौदहा,00867,Maudaha,168,हमीरपुर,Hamirpur
336,राठ,00865,Rath,168,हमीरपुर,Hamirpur
337,सरीला,00866,Sarila,168,हमीरपुर,Hamirpur
338,हमीरपुर,00864,Hamirpur,168,हमीरपुर,Hamirpur
339,बिलग्राम,00812,Bilgram,155,हरदोई,Hardoi
340,शाहाबाद,00809,Shahabad,155,हरदोई,Hardoi
341,सण्डीला,00813,Sandila,155,हरदोई,Hardoi
342,सवायजपुर,00810,Swayjpur,155,हरदोई,Hardoi
343,हरदोई,00811,Hardoi,155,हरदोई,Hardoi
344,सादाबाद,00760,Sadabad,144,हाथरस,Hathras
345,सासनी,00757,Sasni,144,हाथरस,Hathras
346,सिकन्दराराऊ,00758,Siknderarau,144,हाथरस,Hathras
347,हाथरस,00759,Hathras,144,हाथरस,Hathras
348,गढ़ मुक्तेश्वर,00741,GarhMukteshwar,204,हापुड़,Hapur
349,धौलाना,01019,Dhaulana,204,हापुड़,Hapur
350,हापुड़,00740,Hapur,204,हापुड़,Hapur
